Original Domain,Typo Variant,Squatting Type,Category,Toxic Score,Spam Score,Formality Score,Scraped Content
tuwien.ac.at,tuwien.ac.rentals,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.cz,keyboard,No content,0.00,0.94,0.98,Aksamit Consulting Coming soon.
tuwien.ac.at,tuwien.ac.resources.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.backup.at,keyboard,Authoritative,0.00,0.56,1.00,"Nextcloud This application requires JavaScript for correct operation. Please enable JavaScript and reload the page. Nextcloud Access through untrusted domain Please contact your administrator. If you are an administrator, edit the ""trusted_domains"" setting in config/config.php like the example in config.sample.php. Further information how to configure this can be found in the documentation . Nextcloud – a safe home for all your data"
tuwien.ac.at,tuwien.axc.at,keyboard,Authoritative,0.00,0.68,1.00,"Access denied by security policy Access denied by security policy Your request is blocked by a security policy rule. Please contact the support team  and inform them of the time the error occurred, and anything you might have done that may have caused the error. More information about this error may be available in the server error log. Please provide the following information to our support team: tuwien.axc.at | 83.175.184.88 |  07.05.2025 23:00:34 deactivate"
tuwien.ac.at,tuwien.ac.alpha.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.jac.at,keyboard,Other,0.00,0.93,0.90,Domain Details Page We're sorry but this app doesn't work properly without JavaScript enabled. Please enable it to continue.
tuwien.ac.at,tuwien.ab.at,keyboard,Authoritative,0.00,0.70,1.00,".at-Domain Parked Die Domain ist geparkt Diese Domain wurde erfolgreich registriert und bis zur weiteren Verwendung bei nic.at geparkt. Sie interessieren sich ebenfalls fÃ¼r eine .at-Domain? Dann nutzen Sie gerne unseren Domainfinder! Geben Sie einfach Ihre Wunschdomain ein.
				Ist die Domain noch frei, kÃ¶nnen Sie mit dem .at Partnerfinder den passenden Provider finden und die Domain
				gleich registrieren. Wunschdomain nicht mehr frei? Auch das ist kein Problem â lassen Sie sich von den VorschlÃ¤gen unseres Domainfinders inspirieren! Zum Domainfinder Mehr Sicherheit fÃ¼r Ihre Domain! Mit unseren Security-Produkten wie DNSSEC, Security Lock und unserem Anycast-Service RcodeZero
				DNS kÃ¶nnen Sie Ihre Domain absichern und damit etwa vor Missbrauch schÃ¼tzen und die
				uneingeschrÃ¤nkte Erreichbarkeit Ihrer Website gewÃ¤hrleisten. Weitere
				Informationen Eine Information von nic.at â der offiziellen Domainvergabestelle fÃ¼r .at-Domains. Mehr Informationen finden Sie auf unserer Website: www.nic.at Dies ist ein Service der nic.at GmbH und wird
				im Auftrag des Domaininhabers betrieben."
tuwien.ac.at,tuwien.ac.ads.at,keyboard,Crawl error,0.05,0.89,0.99,403 Forbidden 403 Forbidden nginx
tuwien.ac.at,tuwien.ac.cms.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.alerts.at,keyboard,Ad parking,0.00,0.88,0.93,Web Server's Default Page You see this page because there is no Web site at this address.
tuwien.ac.at,tuwien.ac.club,keyboard,No content,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.app.at,keyboard,Other,0.00,0.93,0.90,Domain Details Page We're sorry but this app doesn't work properly without JavaScript enabled. Please enable it to continue.
tuwien.ac.at,tuwienac.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.download.at,keyboard,Ad parking,0.00,0.86,0.99,Software herunterladen Privacy Policy • Terms of Use
tuwien.ac.at,tuwien.ac.tools.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.chat.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.sip.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.cac.at,keyboard,Other,0.00,0.94,1.00,domain: tuwien.cac.at not found here
tuwien.ac.at,tuwien.ac.upload.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.aci.at,keyboard,Authoritative,0.00,0.92,0.96,404 Not Found Not Found The requested URL was not found on this server.
tuwien.ac.at,tuwien.acu.at,keyboard,Other,0.00,0.93,0.90,Domain Details Page We're sorry but this app doesn't work properly without JavaScript enabled. Please enable it to continue.
tuwien.ac.at,tuwien.ac.tracking.at,keyboard,Crawl error,0.05,0.89,0.99,403 Forbidden 403 Forbidden nginx
tuwien.ac.at,tuwien.ac.reviews.at,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
tuwien.ac.at,tuwien.ac.mysql.at,keyboard,Crawl error,0.00,0.00,0.00,
tuwien.ac.at,tuwien.ac.temp.at,keyboard,Other,0.00,0.89,0.98,www.temp.at www.temp.at Hier entsteht eine neue Webpräsenz
tuwien.ac.at,tuwien.acm.at,keyboard,Other,0.00,0.93,0.90,Domain Details Page We're sorry but this app doesn't work properly without JavaScript enabled. Please enable it to continue.
tuwien.ac.at,tuwien.ac.products.at,keyboard,Crawl error,0.00,0.91,0.56,Error 404 (Not Found)!!1 404. That’s an error. The requested URL / was not found on this server. That’s all we know.
