Original Domain,Typo Variant,Squatting Type,Category,Toxic Score,Spam Score,Formality Score,Scraped Content
ox.ac.uk,ox.ac.exchange.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.ac.en.uk,keyboard,Other,0.00,0.93,0.99,ANY-Web You need to enable JavaScript to run this app.
ox.ac.uk,oxac.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.aic.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.ac.pricing.uk,keyboard,Other,0.00,0.88,1.00,0370 755 5088 easyspace.com Support Control Panel
ox.ac.uk,ox.ac.directory.uk,keyboard,Crawl error,0.00,0.00,0.00,
ox.ac.uk,ox.ac.helpdesk.uk,keyboard,Crawl error,0.00,0.00,0.00,
ox.ac.uk,ox.ahc.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93ac58e5a9ece13c • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ox.ac.uk,ox.ac.consulting,keyboard,Other,0.01,0.87,0.84,porkbun.com | parked domain Parked on the Bun! ac.consulting has been registered at Porkbun but the owner has not put up a site yet. Visit again soon to see what amazing website they decide to build. Find your own great domain: Submit
ox.ac.uk,ox.aco.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.ac.server.uk,keyboard,Crawl error,0.00,0.00,0.00,
ox.ac.uk,ox.ac.cp.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.ac.webmail.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.ac.si,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ox.ac.uk,ox.ac.sql.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.awc.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.ac.reports.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ox.ac.uk,ox.acz.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93ac59e12a829cc4 • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
ox.ac.uk,ox.jac.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.ac.doctor,keyboard,For sale,0.00,0.67,0.99,"Pure Comfort Heating & Air Conditioning Pure Comfort Heating & Air Conditioning – Heating & Cooling – Sales – Service A bright idea, coming soon WordPress.com Build a website. Sell something. Blog. And so much more. Log in Start a website"
ox.ac.uk,ox.ac.press.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ox.ac.uk,ox.ac.parts,keyboard,Other,0.00,0.84,0.98,Server under maintenance
ox.ac.uk,ox.ac.www.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.qc.uk,unknown,Other,0.00,0.93,0.99,ANY-Web You need to enable JavaScript to run this app.
ox.ac.uk,ox.aqc.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.acj.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.ac.forum.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.iac.uk,keyboard,No content,0.00,0.00,0.00,
ox.ac.uk,ox.ac.demo.uk,keyboard,Authoritative,0.00,0.92,1.00,403 Forbidden Request forbidden by administrative rules.
ox.ac.uk,ox.ac.control.uk,keyboard,Authoritative,0.00,0.89,1.00,"Attention Required! | Cloudflare Please enable cookies. Sorry, you have been blocked You are unable to access brandable.uk Why have I been blocked? This website is using a security service to protect itself from online attacks. The action you just performed triggered the security solution. There are several actions that could trigger this block including submitting a certain word or phrase, a SQL command or malformed data. What can I do to resolve this? You can email the site owner to let them know you were blocked. Please include what you were doing when this page came up and the Cloudflare Ray ID found at the bottom of this page. Cloudflare Ray ID: 93ac5ab319c1bf80 • Your IP: Click to reveal 2a02:a311:43ff:3100:b950:ab2f:a370:f110 • Performance & security by Cloudflare"
